step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
370,CASH_IN,81833.13,5.666094e+06,5.7479275e+06,2.7859055e+06,2.7040722e+06,0
180,CASH_OUT,3.6081915e+06,3.6081915e+06,0.0,41219.64,3.6494112e+06,1
163,CASH_IN,271938.56,2.0067798e+07,2.0339738e+07,1.3784496e+06,1.106511e+06,0
93,TRANSFER,315654.2,315654.2,0.0,0.0,0.0,1
143,CASH_IN,234542.05,4.1203762e+06,4.354918e+06,2.3235188e+06,2.0889766e+06,0
306,CASH_OUT,87217.41,1126.0,0.0,0.0,87217.41,0
301,CASH_OUT,66681.71,0.0,0.0,674388.6,741070.4,0
266,CASH_OUT,3.486005e+06,3.486005e+06,0.0,50634.59,3.5366398e+06,1
255,PAYMENT,1429.53,0.0,0.0,0.0,0.0,0
735,TRANSFER,92735.71,92735.71,0.0,0.0,0.0,1
313,TRANSFER,124121.57,124121.57,0.0,0.0,0.0,1
715,TRANSFER,212028.16,212028.16,0.0,0.0,0.0,1
134,CASH_OUT,85217.2,0.0,0.0,852498.94,937716.1,0
404,CASH_OUT,109518.16,0.0,0.0,315431.56,424949.72,0
34,PAYMENT,24903.73,250141.0,225237.27,0.0,0.0,0
468,CASH_OUT,19952.89,19952.89,0.0,41255.75,61208.64,1
97,PAYMENT,1989.04,154903.0,152913.95,0.0,0.0,0
329,PAYMENT,13077.3,133668.0,120590.7,0.0,0.0,0
733,CASH_OUT,1.5483765e+06,1.5483765e+06,0.0,2.3175415e+06,3.865918e+06,1
30,CASH_OUT,19016.22,19016.22,0.0,9.348e+06,9.367016e+06,1
8,PAYMENT,8963.11,16626.0,7662.89,0.0,0.0,0
677,TRANSFER,9.295454e+06,9.295454e+06,0.0,0.0,0.0,1
10,CASH_OUT,232365.58,587.0,0.0,52264.0,0.0,0
356,CASH_IN,360974.94,1.4082385e+06,1.7692135e+06,2.812967e+06,2.4519922e+06,0
235,PAYMENT,5025.45,0.0,0.0,0.0,0.0,0
335,CASH_OUT,265820.5,0.0,0.0,899770.8,1.1655912e+06,0
166,CASH_OUT,457619.94,156331.31,0.0,1.8656179e+06,2.3232378e+06,0
394,CASH_IN,250807.17,4.296136e+06,4.546943e+06,1.2989415e+06,1.0481344e+06,0
140,CASH_OUT,69331.19,0.0,0.0,166237.69,235568.88,0
