step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,errorBalanceOrig,errorBalanceDest,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
370,81833.13,5666094.0,5747927.5,2785905.5,2704072.2,0,163666.6299999999,163666.4299999997,True,False,False,False,False
180,3608191.5,3608191.5,0.0,41219.64,3649411.2,1,0.0,-0.060000000055879354,False,True,False,False,False
163,271938.56,20067798.0,20339738.0,1378449.6,1106511.0,0,543878.5599999987,543877.1600000001,True,False,False,False,False
93,315654.2,315654.2,0.0,0.0,0.0,1,0.0,315654.2,False,False,False,False,True
143,234542.05,4120376.2,4354918.0,2323518.8,2088976.6,0,469083.8499999996,469084.24999999953,True,False,False,False,False
306,87217.41,1126.0,0.0,0.0,87217.41,0,86091.41,0.0,False,True,False,False,False
301,66681.71,0.0,0.0,674388.6,741070.4,0,66681.71,-0.09000000008381903,False,True,False,False,False
266,3486005.0,3486005.0,0.0,50634.59,3536639.8,1,0.0,-0.2099999999627471,False,True,False,False,False
255,1429.53,0.0,0.0,0.0,0.0,0,1429.53,1429.53,False,False,False,True,False
735,92735.71,92735.71,0.0,0.0,0.0,1,0.0,92735.71,False,False,False,False,True
313,124121.57,124121.57,0.0,0.0,0.0,1,0.0,124121.57,False,False,False,False,True
715,212028.16,212028.16,0.0,0.0,0.0,1,0.0,212028.16,False,False,False,False,True
134,85217.2,0.0,0.0,852498.94,937716.1,0,85217.2,0.03999999992083758,False,True,False,False,False
404,109518.16,0.0,0.0,315431.56,424949.72,0,109518.16,0.0,False,True,False,False,False
34,24903.73,250141.0,225237.27,0.0,0.0,0,0.0,24903.73,False,False,False,True,False
468,19952.89,19952.89,0.0,41255.75,61208.64,1,0.0,0.0,False,True,False,False,False
97,1989.04,154903.0,152913.95,0.0,0.0,0,-0.009999999980209395,1989.04,False,False,False,True,False
329,13077.3,133668.0,120590.7,0.0,0.0,0,0.0,13077.3,False,False,False,True,False
733,1548376.5,1548376.5,0.0,2317541.5,3865918.0,1,0.0,0.0,False,True,False,False,False
30,19016.22,19016.22,0.0,9348000.0,9367016.0,1,0.0,0.22000000067055225,False,True,False,False,False
8,8963.11,16626.0,7662.89,0.0,0.0,0,0.0,8963.11,False,False,False,True,False
677,9295454.0,9295454.0,0.0,0.0,0.0,1,0.0,9295454.0,False,False,False,False,True
10,232365.58,587.0,0.0,52264.0,0.0,0,231778.58,284629.57999999996,False,True,False,False,False
356,360974.94,1408238.5,1769213.5,2812967.0,2451992.2,0,721949.94,721949.7399999998,True,False,False,False,False
235,5025.45,0.0,0.0,0.0,0.0,0,5025.45,5025.45,False,False,False,True,False
335,265820.5,0.0,0.0,899770.8,1165591.2,0,265820.5,0.10000000009313226,False,True,False,False,False
166,457619.94,156331.31,0.0,1865617.9,2323237.8,0,301288.63,0.0400000000372529,False,True,False,False,False
394,250807.17,4296136.0,4546943.0,1298941.5,1048134.4,0,501614.1699999999,501614.2699999999,True,False,False,False,False
140,69331.19,0.0,0.0,166237.69,235568.88,0,69331.19,0.0,False,True,False,False,False
324,450458.78,450458.78,0.0,0.0,0.0,1,0.0,450458.78,False,False,False,False,True
353,275082.0,275082.0,0.0,0.0,0.0,1,0.0,275082.0,False,False,False,False,True
166,23906.32,95127.0,71220.68,0.0,0.0,0,0.0,23906.32,False,False,False,True,False
325,108450.61,383.0,108833.61,1011089.06,902638.44,0,216901.22,216901.2300000002,True,False,False,False,False
406,74312.98,0.0,0.0,160252.31,234565.3,0,74312.98,-0.010000000009313226,False,True,False,False,False
15,455215.4,135.0,0.0,507764.5,968577.94,0,455080.4,-5598.039999999921,False,True,False,False,False
258,214150.8,41743.0,255893.8,0.0,0.0,0,428301.6,214150.8,True,False,False,False,False
46,51883.73,15157329.0,15209213.0,8031996.5,7980113.0,0,103767.73000000045,103767.23000000045,True,False,False,False,False
305,10000000.0,10000000.0,0.0,0.0,10000000.0,1,0.0,0.0,False,True,False,False,False
137,147859.4,23274.0,0.0,699833.8,847693.25,0,124585.4,-0.04999999993015081,False,True,False,False,False
403,260759.72,21250.0,0.0,0.0,260759.72,0,239509.72,0.0,False,True,False,False,False
376,99722.9,10530270.0,10629993.0,637660.06,537937.2,0,199445.90000000037,199445.76000000013,True,False,False,False,False
137,317231.34,633190.44,950421.75,5042166.0,4724934.5,0,634462.6500000001,634462.8399999999,True,False,False,False,False
590,802483.9,802483.9,0.0,0.0,0.0,1,0.0,802483.9,False,False,False,False,True
80,244814.12,244814.12,0.0,7106855.5,7351669.5,1,0.0,0.12000000011175871,False,True,False,False,False
42,14681.52,19789.0,5107.48,0.0,0.0,0,0.0,14681.52,False,False,False,True,False
21,44814.28,410220.44,365406.16,0.0,0.0,0,-5.820766091346741e-11,44814.28,False,False,False,True,False
160,208807.55,0.0,0.0,662433.6,871241.2,0,208807.55,-0.05000000004656613,False,True,False,False,False
326,15177.97,15177.97,0.0,0.0,0.0,1,0.0,15177.97,False,False,False,False,True
20,255393.4,0.0,0.0,1251967.0,1507360.4,0,255393.4,0.0,False,False,False,False,True
363,7703574.5,7703574.5,0.0,0.0,7703574.5,1,0.0,0.0,False,True,False,False,False
11,358367.53,296836.34,655203.9,424960.8,66593.28,0,716735.0900000001,716735.05,True,False,False,False,False
36,187241.05,0.0,0.0,4068178.2,4255419.5,0,187241.05,-0.25,False,True,False,False,False
16,1077.82,0.0,0.0,0.0,0.0,0,1077.82,1077.82,False,False,False,True,False
204,1995.24,31347.0,29351.76,0.0,0.0,0,0.0,1995.24,False,False,False,True,False
